ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
70,3,2,aceptable,17511,2023-10-13T00:00:00.000000Z
71,5,4,excelente,16767,2021-07-16T00:00:00.000000Z
72,3,3,muy bueno,18168,2021-07-25T00:00:00.000000Z
73,5,4,excelente,18091,2022-01-09T00:00:00.000000Z
74,3,3,muy bueno,5653963,2022-08-15T00:00:00.000000Z
75,2,1,regular,17200,2022-01-18T00:00:00.000000Z
76,5,5,excelente,16969,2023-10-14T00:00:00.000000Z
77,2,3,aceptable,17266,2022-02-25T00:00:00.000000Z
78,5,5,excelente,7245849,2022-09-23T00:00:00.000000Z
79,1,2,regular,17283,2023-02-24T00:00:00.000000Z
80,4,4,excelente,17938,2021-10-18T00:00:00.000000Z
81,4,4,excelente,17289,2023-12-08T00:00:00.000000Z
82,1,1,deficiente,17063,2023-09-30T00:00:00.000000Z
83,1,1,deficiente,18327,2022-03-18T00:00:00.000000Z
84,5,5,excelente,17549,2023-03-31T00:00:00.000000Z
85,5,5,excelente,18584,2023-06-08T00:00:00.000000Z
86,1,1,deficiente,5237134,2023-07-31T00:00:00.000000Z
87,2,3,aceptable,18454,2021-10-04T00:00:00.000000Z
88,1,2,regular,18074,2022-03-11T00:00:00.000000Z
89,2,2,aceptable,17779,2023-02-08T00:00:00.000000Z
90,4,3,muy bueno,18021,2022-04-27T00:00:00.000000Z
91,1,2,regular,18534,2021-08-05T00:00:00.000000Z
92,1,1,deficiente,5237132,2023-03-25T00:00:00.000000Z
93,1,2,regular,17977,2023-04-18T00:00:00.000000Z
94,2,2,aceptable,18615,2022-03-16T00:00:00.000000Z
95,1,2,regular,17030,2023-10-27T00:00:00.000000Z
96,2,3,aceptable,16840,2023-09-11T00:00:00.000000Z
97,3,4,muy bueno,16855,2023-11-01T00:00:00.000000Z
98,3,4,muy bueno,17996,2022-07-01T00:00:00.000000Z
99,4,4,excelente,17418,2022-09-12T00:00:00.000000Z
100,3,4,muy bueno,17447,2021-01-14T00:00:00.000000Z
101,3,2,aceptable,5653899,2022-05-10T00:00:00.000000Z
102,3,3,muy bueno,4749894,2021-06-08T00:00:00.000000Z
103,2,3,aceptable,17848,2023-11-18T00:00:00.000000Z
104,1,1,deficiente,52192,2022-09-29T00:00:00.000000Z
105,4,3,muy bueno,17378,2023-05-24T00:00:00.000000Z
106,5,4,excelente,7180264,2023-12-12T00:00:00.000000Z
107,1,1,deficiente,18232,2022-07-27T00:00:00.000000Z
108,2,3,aceptable,16741,2021-08-04T00:00:00.000000Z
109,2,3,aceptable,18569,2023-11-24T00:00:00.000000Z
110,2,3,aceptable,17851,2021-05-25T00:00:00.000000Z
111,3,3,muy bueno,52095,2021-04-17T00:00:00.000000Z
112,1,1,deficiente,16696,2022-05-17T00:00:00.000000Z
113,1,2,regular,17813,2021-08-16T00:00:00.000000Z
114,5,5,excelente,17933,2022-07-13T00:00:00.000000Z
115,4,3,muy bueno,17375,2023-04-06T00:00:00.000000Z
116,4,5,excelente,52214,2022-05-27T00:00:00.000000Z
117,5,5,excelente,17755,2021-12-25T00:00:00.000000Z
118,5,5,excelente,18331,2022-01-08T00:00:00.000000Z
119,2,3,aceptable,17560,2022-05-22T00:00:00.000000Z
120,2,2,aceptable,16966,2021-08-10T00:00:00.000000Z
121,4,3,muy bueno,17007,2023-03-30T00:00:00.000000Z
122,2,1,regular,3569210,2023-11-16T00:00:00.000000Z
123,4,5,excelente,7021749,2023-09-04T00:00:00.000000Z
124,4,3,muy bueno,3568708,2021-04-13T00:00:00.000000Z
125,4,5,excelente,4988273,2021-05-05T00:00:00.000000Z
126,3,2,aceptable,7886327,2022-11-21T00:00:00.000000Z
127,1,2,regular,18497,2022-02-02T00:00:00.000000Z
128,4,5,excelente,17760,2022-08-21T00:00:00.000000Z
129,1,1,deficiente,17613,2022-03-10T00:00:00.000000Z
130,5,4,excelente,18212,2023-12-31T00:00:00.000000Z
131,4,4,excelente,17983,2023-01-23T00:00:00.000000Z
132,1,1,deficiente,7165658,2021-09-24T00:00:00.000000Z
133,1,1,deficiente,5219935,2022-11-03T00:00:00.000000Z
134,2,1,regular,52078,2023-10-27T00:00:00.000000Z
135,4,3,muy bueno,17390,2021-04-16T00:00:00.000000Z
136,3,2,aceptable,17476,2021-12-31T00:00:00.000000Z
137,2,3,aceptable,5237130,2022-03-25T00:00:00.000000Z
138,3,4,muy bueno,5071591,2021-11-28T00:00:00.000000Z
139,4,5,excelente,17290,2022-08-16T00:00:00.000000Z
140,4,3,muy bueno,52229,2023-03-11T00:00:00.000000Z
141,2,3,aceptable,5653899,2022-05-24T00:00:00.000000Z
142,3,4,muy bueno,9049652,2023-02-13T00:00:00.000000Z
143,4,3,muy bueno,18391,2023-12-05T00:00:00.000000Z
144,5,5,excelente,16967,2022-12-20T00:00:00.000000Z
145,5,4,excelente,18479,2021-09-28T00:00:00.000000Z
146,1,2,regular,16915,2022-12-04T00:00:00.000000Z
147,2,1,regular,17830,2021-10-01T00:00:00.000000Z
148,5,5,excelente,17961,2023-02-01T00:00:00.000000Z
149,1,1,deficiente,16897,2022-09-18T00:00:00.000000Z
150,4,3,muy bueno,7129053,2022-08-01T00:00:00.000000Z
151,3,3,muy bueno,18268,2023-04-29T00:00:00.000000Z
152,5,5,excelente,52223,2023-04-29T00:00:00.000000Z
153,5,5,excelente,17735,2023-11-06T00:00:00.000000Z
154,1,1,deficiente,18466,2022-08-26T00:00:00.000000Z
155,1,1,deficiente,7928004,2022-05-16T00:00:00.000000Z
156,2,3,aceptable,17465,2021-01-06T00:00:00.000000Z
157,3,2,aceptable,7356654,2021-06-29T00:00:00.000000Z
158,2,1,regular,5158861,2021-01-10T00:00:00.000000Z
159,1,2,regular,7182466,2021-10-12T00:00:00.000000Z
160,4,4,excelente,17060,2021-05-25T00:00:00.000000Z
161,5,5,excelente,17009,2022-11-19T00:00:00.000000Z
162,1,2,regular,16671,2022-08-20T00:00:00.000000Z
163,2,1,regular,17016,2023-06-03T00:00:00.000000Z
164,1,1,deficiente,17278,2023-04-05T00:00:00.000000Z
165,1,1,deficiente,3531279,2021-10-16T00:00:00.000000Z
166,4,4,excelente,7356654,2022-05-11T00:00:00.000000Z
167,2,1,regular,461342,2021-07-01T00:00:00.000000Z
168,2,1,regular,18545,2021-07-30T00:00:00.000000Z
169,5,4,excelente,7356671,2023-01-16T00:00:00.000000Z
170,3,2,aceptable,5240107,2021-10-22T00:00:00.000000Z
171,1,2,regular,16743,2023-06-22T00:00:00.000000Z
172,2,2,aceptable,16892,2022-02-06T00:00:00.000000Z
173,3,4,muy bueno,18416,2022-06-21T00:00:00.000000Z
174,5,5,excelente,17530,2023-08-08T00:00:00.000000Z
175,3,3,muy bueno,4986142,2022-02-04T00:00:00.000000Z
176,4,3,muy bueno,8799540,2022-09-08T00:00:00.000000Z
177,4,5,excelente,52219,2022-08-09T00:00:00.000000Z
178,5,4,excelente,7126585,2022-12-21T00:00:00.000000Z
179,2,1,regular,17039,2021-03-06T00:00:00.000000Z
180,5,5,excelente,17847,2022-12-18T00:00:00.000000Z
181,5,5,excelente,5219920,2021-05-13T00:00:00.000000Z
182,2,2,aceptable,18325,2021-07-12T00:00:00.000000Z
183,4,4,excelente,17432,2023-11-20T00:00:00.000000Z
184,2,2,aceptable,18520,2022-11-22T00:00:00.000000Z
185,1,1,deficiente,5240286,2023-06-15T00:00:00.000000Z
186,1,1,deficiente,17199,2021-05-23T00:00:00.000000Z
187,3,3,muy bueno,18060,2023-04-13T00:00:00.000000Z
188,4,3,muy bueno,18055,2023-10-28T00:00:00.000000Z
189,4,4,excelente,17225,2021-09-30T00:00:00.000000Z
190,1,1,deficiente,17037,2021-01-03T00:00:00.000000Z
191,3,2,aceptable,5237123,2022-01-21T00:00:00.000000Z
192,4,4,excelente,17855,2023-12-21T00:00:00.000000Z
193,3,4,muy bueno,7247843,2021-02-15T00:00:00.000000Z
194,4,5,excelente,16700,2022-05-21T00:00:00.000000Z
195,1,2,regular,52223,2021-02-15T00:00:00.000000Z
196,3,2,aceptable,17511,2022-12-19T00:00:00.000000Z
197,2,3,aceptable,18004,2022-01-02T00:00:00.000000Z
198,3,2,aceptable,5056315,2023-05-07T00:00:00.000000Z
199,2,3,aceptable,17694,2021-07-04T00:00:00.000000Z
200,5,5,excelente,17150,2022-08-21T00:00:00.000000Z
201,3,3,muy bueno,52135,2021-12-27T00:00:00.000000Z
202,2,2,aceptable,52045,2021-07-19T00:00:00.000000Z
203,1,1,deficiente,18164,2021-02-09T00:00:00.000000Z
204,1,1,deficiente,18165,2023-07-28T00:00:00.000000Z
205,2,1,regular,18152,2021-02-10T00:00:00.000000Z
206,1,2,regular,17145,2021-02-01T00:00:00.000000Z
207,3,3,muy bueno,8914013,2022-01-29T00:00:00.000000Z
208,1,1,deficiente,17482,2023-05-14T00:00:00.000000Z
209,3,3,muy bueno,52175,2022-05-10T00:00:00.000000Z
210,2,2,aceptable,17052,2022-07-07T00:00:00.000000Z
211,5,5,excelente,18377,2023-05-28T00:00:00.000000Z
212,3,3,muy bueno,52224,2022-10-31T00:00:00.000000Z
213,2,2,aceptable,18069,2023-02-06T00:00:00.000000Z
214,3,2,aceptable,17992,2022-02-08T00:00:00.000000Z
215,1,1,deficiente,18347,2021-07-17T00:00:00.000000Z
216,1,1,deficiente,18068,2021-12-30T00:00:00.000000Z
217,1,1,deficiente,17537,2023-12-01T00:00:00.000000Z
218,2,1,regular,18110,2023-08-27T00:00:00.000000Z
219,1,2,regular,18372,2023-11-28T00:00:00.000000Z
220,2,2,aceptable,17208,2022-09-03T00:00:00.000000Z
221,3,4,muy bueno,461342,2023-04-11T00:00:00.000000Z
222,3,4,muy bueno,17515,2021-01-17T00:00:00.000000Z
223,5,5,excelente,17685,2022-08-11T00:00:00.000000Z
224,1,1,deficiente,17942,2023-05-29T00:00:00.000000Z
225,3,2,aceptable,17563,2021-04-01T00:00:00.000000Z
226,4,5,excelente,7840483,2022-10-05T00:00:00.000000Z
227,1,1,deficiente,18287,2022-05-02T00:00:00.000000Z
228,1,1,deficiente,18393,2023-03-25T00:00:00.000000Z
229,3,2,aceptable,16872,2021-08-03T00:00:00.000000Z
230,3,4,muy bueno,451348,2022-01-27T00:00:00.000000Z
231,3,4,muy bueno,18494,2022-09-19T00:00:00.000000Z
232,3,4,muy bueno,7591554,2023-10-18T00:00:00.000000Z
233,5,5,excelente,3573055,2021-02-04T00:00:00.000000Z
234,5,5,excelente,18434,2022-02-11T00:00:00.000000Z
235,5,4,excelente,18067,2022-04-30T00:00:00.000000Z
236,4,4,excelente,18317,2023-11-10T00:00:00.000000Z
237,4,4,excelente,5246186,2022-07-29T00:00:00.000000Z
238,1,2,regular,7125671,2023-01-28T00:00:00.000000Z
239,1,1,deficiente,17433,2022-09-01T00:00:00.000000Z
240,5,4,excelente,5653967,2023-12-05T00:00:00.000000Z
241,5,4,excelente,3573055,2022-09-05T00:00:00.000000Z
242,3,2,aceptable,17319,2023-10-11T00:00:00.000000Z
243,2,3,aceptable,5195568,2021-09-26T00:00:00.000000Z
244,4,5,excelente,17154,2023-07-07T00:00:00.000000Z
245,3,2,aceptable,17885,2021-12-15T00:00:00.000000Z
246,5,5,excelente,18505,2021-12-03T00:00:00.000000Z
247,2,3,aceptable,18327,2023-11-28T00:00:00.000000Z
248,5,4,excelente,7130028,2023-05-21T00:00:00.000000Z
249,2,3,aceptable,18063,2023-01-12T00:00:00.000000Z
250,1,1,deficiente,17148,2021-06-04T00:00:00.000000Z
251,3,4,muy bueno,17256,2021-08-06T00:00:00.000000Z
252,1,1,deficiente,7126156,2022-11-20T00:00:00.000000Z
253,1,1,deficiente,7764194,2022-03-05T00:00:00.000000Z
254,4,5,excelente,17326,2021-03-14T00:00:00.000000Z
255,1,1,deficiente,18636,2021-11-08T00:00:00.000000Z
256,1,2,regular,7107695,2021-01-09T00:00:00.000000Z
257,3,3,muy bueno,17761,2021-10-09T00:00:00.000000Z
258,5,5,excelente,461342,2022-09-13T00:00:00.000000Z
259,2,1,regular,18292,2023-10-20T00:00:00.000000Z
260,3,3,muy bueno,461181,2021-07-31T00:00:00.000000Z
261,2,2,aceptable,17562,2023-06-25T00:00:00.000000Z
262,1,2,regular,17527,2022-02-06T00:00:00.000000Z
263,3,3,muy bueno,52200,2022-09-15T00:00:00.000000Z
264,2,2,aceptable,17604,2023-09-02T00:00:00.000000Z
265,4,3,muy bueno,18413,2023-05-17T00:00:00.000000Z
266,2,1,regular,16725,2022-07-01T00:00:00.000000Z
267,4,5,excelente,18268,2021-04-04T00:00:00.000000Z
268,2,2,aceptable,17977,2022-12-27T00:00:00.000000Z
269,1,2,regular,17649,2021-07-30T00:00:00.000000Z
270,5,5,excelente,6819611,2021-02-22T00:00:00.000000Z
271,3,4,muy bueno,52189,2023-04-30T00:00:00.000000Z
272,2,1,regular,17092,2023-11-04T00:00:00.000000Z
273,1,2,regular,17929,2021-03-21T00:00:00.000000Z
274,5,4,excelente,3566363,2022-01-16T00:00:00.000000Z
275,3,4,muy bueno,5653896,2022-09-04T00:00:00.000000Z
276,1,1,deficiente,18487,2021-12-19T00:00:00.000000Z
277,4,5,excelente,17899,2021-08-09T00:00:00.000000Z
278,1,1,deficiente,17746,2023-09-23T00:00:00.000000Z
279,3,4,muy bueno,17424,2022-07-10T00:00:00.000000Z
280,4,5,excelente,17996,2023-10-14T00:00:00.000000Z
281,3,4,muy bueno,7107055,2022-07-06T00:00:00.000000Z
282,1,1,deficiente,18297,2022-06-02T00:00:00.000000Z
283,5,5,excelente,17505,2023-11-05T00:00:00.000000Z
284,3,3,muy bueno,461342,2022-12-24T00:00:00.000000Z
285,4,3,muy bueno,5158861,2022-02-27T00:00:00.000000Z
286,1,2,regular,5213823,2021-03-31T00:00:00.000000Z
287,4,4,excelente,3568169,2021-10-27T00:00:00.000000Z
288,3,4,muy bueno,17046,2021-02-18T00:00:00.000000Z
289,5,5,excelente,7537965,2021-01-13T00:00:00.000000Z
290,1,1,deficiente,17646,2021-09-17T00:00:00.000000Z
291,4,5,excelente,5237139,2023-04-13T00:00:00.000000Z
292,4,3,muy bueno,52102,2021-07-30T00:00:00.000000Z
293,5,5,excelente,17980,2022-09-16T00:00:00.000000Z
294,3,4,muy bueno,17760,2022-11-16T00:00:00.000000Z
295,1,1,deficiente,17593,2023-09-03T00:00:00.000000Z
296,5,5,excelente,18005,2021-12-03T00:00:00.000000Z
297,5,5,excelente,16785,2021-07-23T00:00:00.000000Z
298,2,1,regular,17578,2023-10-08T00:00:00.000000Z
299,5,4,excelente,17949,2022-12-23T00:00:00.000000Z
300,4,5,excelente,17395,2021-07-27T00:00:00.000000Z
301,1,1,deficiente,17549,2022-01-14T00:00:00.000000Z
302,1,2,regular,16776,2022-09-22T00:00:00.000000Z
303,3,2,aceptable,16743,2022-11-11T00:00:00.000000Z
304,1,2,regular,52060,2023-07-10T00:00:00.000000Z
305,5,5,excelente,17975,2022-04-01T00:00:00.000000Z
306,2,1,regular,18054,2022-08-25T00:00:00.000000Z
307,4,4,excelente,17276,2022-02-17T00:00:00.000000Z
308,1,1,deficiente,7928425,2022-11-27T00:00:00.000000Z
309,2,3,aceptable,17562,2021-03-15T00:00:00.000000Z
310,4,3,muy bueno,17555,2023-09-17T00:00:00.000000Z
311,3,3,muy bueno,8799606,2021-04-21T00:00:00.000000Z
312,2,3,aceptable,18140,2021-09-04T00:00:00.000000Z
313,2,3,aceptable,17342,2022-02-05T00:00:00.000000Z
314,4,5,excelente,17426,2022-08-07T00:00:00.000000Z
315,4,5,excelente,18508,2021-10-25T00:00:00.000000Z
316,5,5,excelente,17278,2023-06-24T00:00:00.000000Z
317,5,4,excelente,16959,2021-12-06T00:00:00.000000Z
318,4,5,excelente,17207,2023-02-09T00:00:00.000000Z
319,5,5,excelente,5653967,2022-10-11T00:00:00.000000Z
320,4,5,excelente,17897,2023-02-05T00:00:00.000000Z
321,4,4,excelente,5241187,2023-09-07T00:00:00.000000Z
322,3,2,aceptable,18467,2021-01-19T00:00:00.000000Z
323,4,5,excelente,17664,2021-08-19T00:00:00.000000Z
324,1,2,regular,52141,2022-10-18T00:00:00.000000Z
325,3,3,muy bueno,18604,2021-07-21T00:00:00.000000Z
326,4,3,muy bueno,3573331,2022-04-08T00:00:00.000000Z
327,5,4,excelente,52177,2023-11-08T00:00:00.000000Z
328,3,4,muy bueno,18485,2023-06-22T00:00:00.000000Z
329,2,2,aceptable,8218587,2023-03-24T00:00:00.000000Z
330,2,1,regular,5075332,2022-01-12T00:00:00.000000Z
331,1,1,deficiente,5237113,2022-10-10T00:00:00.000000Z
332,5,5,excelente,18279,2023-04-11T00:00:00.000000Z
333,1,1,deficiente,17194,2023-09-05T00:00:00.000000Z
334,4,3,muy bueno,17383,2022-02-15T00:00:00.000000Z
335,5,5,excelente,16686,2021-07-20T00:00:00.000000Z
336,4,4,excelente,17945,2023-01-29T00:00:00.000000Z
337,1,1,deficiente,52184,2023-11-07T00:00:00.000000Z
338,1,1,deficiente,5246197,2023-04-20T00:00:00.000000Z
339,4,5,excelente,17136,2021-08-24T00:00:00.000000Z
340,3,3,muy bueno,17990,2022-06-14T00:00:00.000000Z
341,4,4,excelente,18363,2022-03-17T00:00:00.000000Z
342,1,1,deficiente,7126156,2021-10-28T00:00:00.000000Z
343,4,5,excelente,8799607,2022-01-26T00:00:00.000000Z
344,2,1,regular,16887,2023-12-02T00:00:00.000000Z
345,2,3,aceptable,17745,2022-05-27T00:00:00.000000Z
346,5,4,excelente,9187543,2022-11-10T00:00:00.000000Z
347,3,4,muy bueno,7107693,2021-09-04T00:00:00.000000Z
348,1,1,deficiente,17027,2023-06-26T00:00:00.000000Z
349,3,2,aceptable,7107693,2022-06-07T00:00:00.000000Z
350,5,5,excelente,6819625,2022-02-21T00:00:00.000000Z
351,5,4,excelente,17939,2023-05-24T00:00:00.000000Z
352,5,4,excelente,17324,2023-03-22T00:00:00.000000Z
353,2,3,aceptable,17814,2023-03-16T00:00:00.000000Z
354,3,4,muy bueno,17612,2021-06-04T00:00:00.000000Z
355,4,4,excelente,17242,2021-10-05T00:00:00.000000Z
356,3,4,muy bueno,7168554,2022-05-27T00:00:00.000000Z
357,2,2,aceptable,5653909,2023-08-26T00:00:00.000000Z
358,4,5,excelente,7591618,2022-12-30T00:00:00.000000Z
359,1,1,deficiente,4737941,2021-02-02T00:00:00.000000Z
360,3,4,muy bueno,17445,2023-11-09T00:00:00.000000Z
361,1,1,deficiente,8799553,2022-03-28T00:00:00.000000Z
362,1,1,deficiente,17965,2021-09-28T00:00:00.000000Z
363,4,3,muy bueno,7403983,2023-01-25T00:00:00.000000Z
364,1,2,regular,8799606,2023-07-14T00:00:00.000000Z
365,4,3,muy bueno,17206,2023-12-17T00:00:00.000000Z
366,5,5,excelente,18506,2021-07-10T00:00:00.000000Z
367,1,2,regular,16822,2022-07-08T00:00:00.000000Z
368,2,1,regular,18068,2023-01-21T00:00:00.000000Z
369,4,3,muy bueno,18135,2023-01-11T00:00:00.000000Z
370,1,1,deficiente,3573052,2021-04-03T00:00:00.000000Z
371,1,1,deficiente,5799343,2022-11-19T00:00:00.000000Z
372,2,2,aceptable,17065,2021-05-26T00:00:00.000000Z
373,3,4,muy bueno,7125619,2023-03-21T00:00:00.000000Z
374,3,3,muy bueno,7248182,2021-10-23T00:00:00.000000Z
375,3,2,aceptable,5653965,2021-11-03T00:00:00.000000Z
376,5,5,excelente,17425,2023-05-15T00:00:00.000000Z
377,5,4,excelente,18066,2021-02-08T00:00:00.000000Z
378,2,1,regular,17593,2022-11-02T00:00:00.000000Z
379,3,2,aceptable,16770,2023-01-12T00:00:00.000000Z
380,5,5,excelente,17754,2022-08-20T00:00:00.000000Z
381,1,1,deficiente,3569222,2022-09-10T00:00:00.000000Z
382,3,3,muy bueno,9294001,2022-09-24T00:00:00.000000Z
383,5,5,excelente,16965,2021-04-03T00:00:00.000000Z
384,1,1,deficiente,18374,2023-10-10T00:00:00.000000Z
385,1,1,deficiente,16972,2023-07-14T00:00:00.000000Z
386,2,1,regular,17064,2023-06-23T00:00:00.000000Z
387,5,5,excelente,17392,2023-06-08T00:00:00.000000Z
388,5,5,excelente,18447,2022-07-04T00:00:00.000000Z
389,5,4,excelente,52159,2022-07-13T00:00:00.000000Z
390,1,2,regular,4749887,2023-07-11T00:00:00.000000Z
391,5,5,excelente,18393,2023-10-05T00:00:00.000000Z
392,1,1,deficiente,17158,2021-06-29T00:00:00.000000Z
393,4,4,excelente,18071,2021-12-11T00:00:00.000000Z
394,2,2,aceptable,8914013,2023-07-16T00:00:00.000000Z
395,1,1,deficiente,17642,2023-12-10T00:00:00.000000Z
396,1,1,deficiente,17505,2022-08-23T00:00:00.000000Z
397,5,5,excelente,16964,2022-01-12T00:00:00.000000Z
398,5,4,excelente,7889423,2021-01-18T00:00:00.000000Z
399,2,3,aceptable,18422,2023-09-30T00:00:00.000000Z
400,3,2,aceptable,18493,2021-01-15T00:00:00.000000Z
401,5,5,excelente,3740132,2022-10-13T00:00:00.000000Z
402,3,2,aceptable,18030,2022-02-04T00:00:00.000000Z
403,4,4,excelente,16973,2022-11-27T00:00:00.000000Z
404,2,1,regular,17869,2021-11-24T00:00:00.000000Z
405,3,3,muy bueno,52073,2022-10-23T00:00:00.000000Z
406,2,3,aceptable,16957,2022-09-05T00:00:00.000000Z
407,2,2,aceptable,7840483,2022-09-14T00:00:00.000000Z
408,5,5,excelente,7126156,2022-09-15T00:00:00.000000Z
409,2,3,aceptable,17251,2023-09-18T00:00:00.000000Z
410,4,3,muy bueno,7886698,2021-11-15T00:00:00.000000Z
411,5,5,excelente,5240105,2021-11-03T00:00:00.000000Z
412,5,5,excelente,17203,2021-11-05T00:00:00.000000Z
413,2,2,aceptable,17122,2022-08-11T00:00:00.000000Z
414,4,3,muy bueno,7162223,2022-11-10T00:00:00.000000Z
415,5,5,excelente,52199,2023-06-22T00:00:00.000000Z
416,2,2,aceptable,17931,2021-12-07T00:00:00.000000Z
417,1,1,deficiente,16663,2021-02-16T00:00:00.000000Z
418,5,5,excelente,3991326,2023-06-12T00:00:00.000000Z
419,2,3,aceptable,52221,2022-12-02T00:00:00.000000Z
420,5,5,excelente,16708,2021-08-30T00:00:00.000000Z
421,2,3,aceptable,17787,2023-03-05T00:00:00.000000Z
422,3,4,muy bueno,3573049,2023-11-13T00:00:00.000000Z
423,3,3,muy bueno,18634,2021-11-17T00:00:00.000000Z
424,1,2,regular,17682,2022-03-05T00:00:00.000000Z
425,4,5,excelente,17692,2023-03-26T00:00:00.000000Z
426,4,5,excelente,17308,2022-02-14T00:00:00.000000Z
427,3,2,aceptable,18357,2023-01-30T00:00:00.000000Z
428,4,3,muy bueno,17034,2021-04-26T00:00:00.000000Z
429,2,3,aceptable,17109,2022-02-27T00:00:00.000000Z
430,2,3,aceptable,18125,2022-09-20T00:00:00.000000Z
431,3,2,aceptable,4731667,2022-02-05T00:00:00.000000Z
432,5,5,excelente,17406,2022-02-12T00:00:00.000000Z
433,4,4,excelente,17679,2022-10-18T00:00:00.000000Z
434,1,1,deficiente,17791,2023-04-12T00:00:00.000000Z
435,3,4,muy bueno,3568959,2021-07-15T00:00:00.000000Z
